Country,Year,Co2Emission
AT,2000,168.0
BE,2000,166.5
DE,2000,182.2
DK,2000,175.7
EL,2000,180.3
ES,2000,159.2
FI,2000,181.1
FR,2000,163.6
IE,2000,161.3
IT,2000,155.1
LU,2000,176.7
NL,2000,174.2
PT,2000,169.2
SE,2000,200.0
UK,2000,185.4
AT,2001,165.6
BE,2001,163.7
DE,2001,179.5
DK,2001,172.9
EL,2001,166.5
ES,2001,156.8
FI,2001,178.1
FR,2001,159.8
IE,2001,166.6
IT,2001,158.3
LU,2001,177.0
NL,2001,174.0
SE,2001,200.2
UK,2001,177.9
AT,2002,164.4
BE,2002,161.1
DE,2002,177.4
DK,2002,170.0
EL,2002,167.8
ES,2002,156.4
FI,2002,177.2
FR,2002,156.8
IE,2002,164.3
IT,2002,156.6
LU,2002,173.8
NL,2002,172.4
PT,2002,154.0
SE,2002,198.2
UK,2002,174.8
AT,2003,163.8
BE,2003,158.1
DE,2003,175.9
DK,2003,169.0
EL,2003,168.9
ES,2003,157.0
FI,2003,178.3
FR,2003,155.0
IE,2003,166.7
IT,2003,152.9
LU,2003,173.5
NL,2003,173.5
PT,2003,149.9
SE,2003,198.5
UK,2003,172.7
AT,2004,161.9
BE,2004,156.5
CY,2004,173.4
CZ,2004,154.0
DE,2004,174.9
DK,2004,165.9
EE,2004,179.0
EL,2004,168.8
ES,2004,155.3
FI,2004,179.8
FR,2004,153.1
HU,2004,158.5
IE,2004,167.6
IT,2004,150.0
LT,2004,187.5
LU,2004,169.7
LV,2004,192.4
MT,2004,148.8
NL,2004,171.0
PL,2004,154.1
PT,2004,147.1
SE,2004,197.2
SI,2004,152.7
UK,2004,171.4
AT,2005,162.1
BE,2005,155.2
CY,2005,173.0
CZ,2005,155.3
DE,2005,173.4
DK,2005,163.7
EE,2005,183.7
EL,2005,167.4
ES,2005,155.3
FI,2005,179.5
FR,2005,152.3
HU,2005,156.3
IE,2005,166.8
IT,2005,149.5
LT,2005,186.3
LU,2005,168.6
LV,2005,187.2
MT,2005,150.5
NL,2005,169.9
PL,2005,155.2
PT,2005,144.9
SE,2005,193.8
SI,2005,157.2
SK,2005,157.4
UK,2005,169.7
AT,2006,163.7
BE,2006,153.9
CY,2006,170.1
CZ,2006,154.2
DE,2006,172.5
DK,2006,162.5
EE,2006,182.7
EL,2006,166.5
ES,2006,155.6
FI,2006,179.2
FR,2006,149.9
HU,2006,154.6
IE,2006,166.3
IT,2006,149.2
LT,2006,163.4
LU,2006,168.2
LV,2006,183.1
MT,2006,145.9
NL,2006,166.7
PL,2006,155.9
PT,2006,145.0
SE,2006,188.6
SI,2006,155.3
SK,2006,152.0
UK,2006,167.7
AT,2007,162.9
BE,2007,152.8
BG,2007,171.6
CY,2007,170.3
CZ,2007,154.2
DE,2007,169.5
DK,2007,159.8
EE,2007,181.6
EL,2007,165.3
ES,2007,153.2
EU27_2007,2007,158.7
EU27_2020,2007,157.5
FI,2007,177.3
FR,2007,149.4
HU,2007,155.0
IE,2007,161.6
IT,2007,146.5
LT,2007,176.5
LU,2007,165.8
LV,2007,183.5
MT,2007,147.8
NL,2007,164.8
PL,2007,153.7
PT,2007,144.2
RO,2007,154.8
SE,2007,181.4
SI,2007,156.3
SK,2007,152.7
UK,2007,164.7
AT,2008,158.1
BE,2008,147.8
BG,2008,171.5
CY,2008,165.6
CZ,2008,154.4
DE,2008,164.8
DK,2008,146.4
EE,2008,177.4
EL,2008,160.8
ES,2008,148.2
EU27_2007,2008,153.6
EU27_2020,2008,152.8
FI,2008,162.9
FR,2008,140.1
HU,2008,153.4
IE,2008,156.8
IT,2008,144.7
LT,2008,170.1
LU,2008,159.5
LV,2008,180.6
MT,2008,146.9
NL,2008,156.7
PL,2008,153.1
PT,2008,138.2
RO,2008,156.0
SE,2008,173.9
SI,2008,155.9
SK,2008,150.4
UK,2008,158.2
AT,2009,150.2
BE,2009,142.1
BG,2009,172.1
CY,2009,160.7
CZ,2009,155.5
DE,2009,154.0
DK,2009,139.1
EE,2009,170.3
EL,2009,157.4
ES,2009,142.2
EU27_2007,2009,145.7
EU27_2020,2009,145.0
FI,2009,157.0
FR,2009,133.5
HU,2009,153.4
IE,2009,144.4
IT,2009,136.3
LT,2009,166.0
LU,2009,152.5
LV,2009,176.9
MT,2009,135.7
NL,2009,146.9
PL,2009,151.6
PT,2009,133.8
RO,2009,157.0
SE,2009,164.5
SI,2009,152.0
SK,2009,146.6
UK,2009,149.7
AT,2010,144.0
BE,2010,133.4
BG,2010,158.9
CY,2010,155.8
CZ,2010,148.9
DE,2010,151.1
DK,2010,126.2
EE,2010,162.0
EL,2010,143.7
ES,2010,137.9
EU27_2007,2010,140.3
EU27_2020,2010,139.6
FI,2010,149.0
FR,2010,130.5
HU,2010,147.4
IE,2010,133.2
IT,2010,132.7
LT,2010,150.9
LU,2010,146.0
LV,2010,162.0
MT,2010,131.2
NL,2010,135.8
PL,2010,146.2
PT,2010,127.2
RO,2010,148.5
SE,2010,151.3
SI,2010,144.4
SK,2010,149.0
UK,2010,144.2
AT,2011,138.7
BE,2011,127.2
BG,2011,151.4
CY,2011,149.9
CZ,2011,144.5
DE,2011,145.6
DK,2011,125.0
EE,2011,156.9
EL,2011,132.7
ES,2011,133.8
EU27_2007,2011,135.7
EU27_2020,2011,135.3
FI,2011,144.0
FR,2011,127.7
HU,2011,141.6
IE,2011,128.3
IT,2011,129.6
LT,2011,144.4
LU,2011,142.2
LV,2011,154.4
MT,2011,124.7
NL,2011,126.1
PL,2011,144.5
PT,2011,122.8
RO,2011,140.7
SE,2011,141.8
SI,2011,139.7
SK,2011,144.9
UK,2011,138.0
AT,2012,135.7
BE,2012,128.0
BG,2012,149.2
CY,2012,144.3
CZ,2012,140.8
DE,2012,141.6
DK,2012,117.0
EE,2012,150.3
EL,2012,121.1
ES,2012,128.7
EU27_2007,2012,132.2
EU27_2020,2012,132.0
FI,2012,139.1
FR,2012,124.4
HU,2012,140.8
IE,2012,125.1
IT,2012,126.2
LT,2012,144.2
LU,2012,137.0
LV,2012,152.0
MT,2012,121.5
NL,2012,118.6
PL,2012,141.3
PT,2012,117.6
RO,2012,139.0
SE,2012,135.9
SI,2012,133.4
SK,2012,141.0
UK,2012,132.9
AT,2013,131.6
BE,2013,124.0
BG,2013,141.7
CY,2013,139.2
CZ,2013,134.6
DE,2013,136.1
DK,2013,112.7
EE,2013,147.0
EL,2013,111.9
ES,2013,122.4
EU27_2007,2013,126.7
EU27_2020,2013,126.4
FI,2013,131.8
FR,2013,117.4
HR,2013,127.1
HU,2013,134.4
IE,2013,120.7
IT,2013,121.1
LT,2013,139.8
LU,2013,133.4
LV,2013,147.1
MT,2013,118.7
NL,2013,109.1
PL,2013,138.1
PT,2013,112.2
RO,2013,132.1
SE,2013,133.2
SI,2013,125.6
SK,2013,135.1
UK,2013,128.3
AT,2014,128.5
BE,2014,121.3
BG,2014,135.9
CY,2014,129.8
CZ,2014,131.6
DE,2014,132.5
DK,2014,110.2
EE,2014,140.9
EL,2014,108.2
ES,2014,118.6
EU27_2020,2014,123.1
EU28,2014,123.4
FI,2014,127.4
FR,2014,114.2
HR,2014,115.8
HU,2014,133.0
IE,2014,117.1
IT,2014,118.1
LT,2014,135.8
LU,2014,129.9
LV,2014,140.4
MT,2014,115.3
NL,2014,107.3
PL,2014,132.9
PT,2014,108.8
RO,2014,128.2
SE,2014,131.0
SI,2014,121.3
SK,2014,131.7
UK,2014,124.6
AT,2015,123.7
BE,2015,117.9
BG,2015,130.3
CY,2015,125.7
CZ,2015,126.3
DE,2015,128.3
DK,2015,106.2
EE,2015,137.2
EL,2015,106.4
ES,2015,115.3
EU27_2020,2015,119.1
EU28,2015,119.5
FI,2015,123.0
FR,2015,111.0
HR,2015,112.8
HU,2015,129.6
IE,2015,114.1
IT,2015,115.2
LT,2015,130.0
LU,2015,127.5
LV,2015,137.1
MT,2015,113.3
NL,2015,101.2
PL,2015,129.3
PT,2015,105.7
RO,2015,125.0
SE,2015,126.3
SI,2015,119.2
SK,2015,127.6
UK,2015,121.3
AT,2016,120.4
BE,2016,115.9
BG,2016,125.8
CY,2016,123.5
CZ,2016,121.2
DE,2016,126.9
DK,2016,106.0
EE,2016,133.9
EL,2016,106.3
ES,2016,114.4
EU27_2020,2016,117.6
EU28,2016,118.1
FI,2016,120.0
FR,2016,109.8
HR,2016,111.5
HU,2016,125.9
IE,2016,112.0
IT,2016,113.3
LT,2016,126.2
LU,2016,126.1
LV,2016,128.9
MT,2016,111.8
NL,2016,105.9
PL,2016,125.8
PT,2016,104.7
RO,2016,122.0
SE,2016,123.1
SI,2016,119.0
SK,2016,124.8
UK,2016,120.1
AT,2017,120.7
BE,2017,115.9
BG,2017,126.2
CY,2017,122.2
CZ,2017,124.1
DE,2017,127.2
DK,2017,107.1
EE,2017,132.8
EL,2017,108.8
ES,2017,115.0
EU27_2020,2017,118.0
EU28,2017,118.5
FI,2017,118.2
FR,2017,110.4
HR,2017,113.1
HU,2017,125.6
IE,2017,111.6
IT,2017,113.3
LT,2017,127.4
LU,2017,127.0
LV,2017,128.8
MT,2017,111.0
NL,2017,108.3
PL,2017,127.6
PT,2017,104.7
RO,2017,120.6
SE,2017,122.3
SI,2017,119.6
SK,2017,126.1
UK,2017,121.1
AT,2018,123.0
BE,2018,119.4
BG,2018,126.7
CY,2018,123.4
CZ,2018,126.0
DE,2018,129.5
DK,2018,109.6
EE,2018,132.4
EL,2018,111.4
ES,2018,118.1
EU27_2020,2018,120.1
FI,2018,116.7
FR,2018,112.2
HR,2018,115.3
HU,2018,127.9
IE,2018,113.3
IS,2018,116.8
IT,2018,115.9
LT,2018,128.6
LU,2018,131.4
LV,2018,128.8
MT,2018,107.7
NL,2018,105.5
PL,2018,129.8
PT,2018,106.1
RO,2018,121.5
SE,2018,122.2
SI,2018,120.9
SK,2018,127.6
UK,2018,124.6
AT,2019,125.5
BE,2019,121.5
BG,2019,137.6
CY,2019,126.8
CZ,2019,128.7
DE,2019,131.2
DK,2019,111.9
EE,2019,130.1
EL,2019,115.6
ES,2019,121.3
EU27_2020,2019,122.2
FI,2019,115.3
FR,2019,113.7
HR,2019,119.4
HU,2019,131.8
IE,2019,114.0
IS,2019,114.3
IT,2019,119.4
LT,2019,132.0
LU,2019,133.0
LV,2019,127.9
MT,2019,105.3
NL,2019,98.4
NO,2019,59.9
PL,2019,132.0
PT,2019,109.4
RO,2019,124.3
SE,2019,119.7
SI,2019,123.7
SK,2019,133.4
UK,2019,127.7
