Unit,Location,Year,Passenger_kilometers_in_millions
MIO_PKM,AT,2020,9620
MIO_PKM,BG,2020,2138
MIO_PKM,CH,2020,17223
MIO_PKM,DE,2020,81206
MIO_PKM,DK,2020,5967
MIO_PKM,EE,2020,249
MIO_PKM,EL,2020,1467
MIO_PKM,ES,2020,22742
MIO_PKM,FI,2020,3876
MIO_PKM,HR,2020,1802
MIO_PKM,IE,2020,1683
MIO_PKM,IT,2020,44404
MIO_PKM,LT,2020,231
MIO_PKM,LV,2020,748
MIO_PKM,MK,2020,155
MIO_PKM,PT,2020,4213
MIO_PKM,RO,2020,5975
MIO_PKM,SE,2020,11321
MIO_PKM,SI,2020,773
MIO_PKM,SK,2020,2264
MIO_PKM,TR,2020,5374
MIO_PKM,AT,2019,9713
MIO_PKM,BG,2019,2090
MIO_PKM,CH,2019,17800
MIO_PKM,DE,2019,82837
MIO_PKM,DK,2019,6148
MIO_PKM,EE,2019,247
MIO_PKM,EL,2019,1383
MIO_PKM,ES,2019,22044
MIO_PKM,FI,2019,3959
MIO_PKM,HR,2019,1711
MIO_PKM,IE,2019,1678
MIO_PKM,IT,2019,43349
MIO_PKM,LT,2019,244
MIO_PKM,LV,2019,741
MIO_PKM,MK,2019,155
MIO_PKM,PT,2019,4111
MIO_PKM,RO,2019,5248
MIO_PKM,SE,2019,11155
MIO_PKM,SI,2019,729
MIO_PKM,SK,2019,2309
MIO_PKM,TR,2019,5491
MIO_PKM,AT,2018,10172
MIO_PKM,BG,2018,2059
MIO_PKM,CH,2018,18320
MIO_PKM,DE,2018,89316
MIO_PKM,DK,2018,6395
MIO_PKM,EE,2018,243
MIO_PKM,EL,2018,958
MIO_PKM,ES,2018,22645
MIO_PKM,FI,2018,3882
MIO_PKM,HR,2018,1457
MIO_PKM,IE,2018,1638
MIO_PKM,IT,2018,45944
MIO_PKM,LT,2018,269
MIO_PKM,LV,2018,733
MIO_PKM,MK,2018,145
MIO_PKM,PT,2018,4237
MIO_PKM,RO,2018,5044
MIO_PKM,SE,2018,11379
MIO_PKM,SI,2018,689
MIO_PKM,SK,2018,2431
MIO_PKM,TR,2018,5882
MIO_PKM,AT,2017,10606
MIO_PKM,BG,2017,1870
MIO_PKM,CH,2017,18115
MIO_PKM,DE,2017,93918
MIO_PKM,DK,2017,6534
MIO_PKM,EE,2017,235
MIO_PKM,EL,2017,832
MIO_PKM,ES,2017,22170
MIO_PKM,FI,2017,4035
MIO_PKM,HR,2017,1080
MIO_PKM,IE,2017,1578
MIO_PKM,IT,2017,45753
MIO_PKM,LT,2017,278
MIO_PKM,LV,2017,717
MIO_PKM,MK,2017,99
MIO_PKM,PT,2017,3803
MIO_PKM,RO,2017,4518
MIO_PKM,SE,2017,11792
MIO_PKM,SI,2017,659
MIO_PKM,SK,2017,2459
MIO_PKM,TR,2017,4598
MIO_PKM,AT,2016,11188
MIO_PKM,BG,2016,1821
MIO_PKM,CH,2016,18277
MIO_PKM,DE,2016,89450
MIO_PKM,DK,2016,6566
MIO_PKM,EE,2016,223
MIO_PKM,EL,2016,1056
MIO_PKM,ES,2016,23660
MIO_PKM,FI,2016,4053
MIO_PKM,HR,2016,935
MIO_PKM,IE,2016,1569
MIO_PKM,IT,2016,47707
MIO_PKM,LT,2016,278
MIO_PKM,LV,2016,721
MIO_PKM,MK,2016,80
MIO_PKM,PT,2016,3649
MIO_PKM,RO,2016,4352
MIO_PKM,SE,2016,11842
MIO_PKM,SI,2016,679
MIO_PKM,SK,2016,2485
MIO_PKM,TR,2016,3775
MIO_PKM,AT,2015,11345
MIO_PKM,BG,2015,1698
MIO_PKM,CH,2015,18801
MIO_PKM,DE,2015,90978
MIO_PKM,DK,2015,6513
MIO_PKM,EE,2015,280
MIO_PKM,EL,2015,1072
MIO_PKM,ES,2015,24915
MIO_PKM,FI,2015,3874
MIO_PKM,HR,2015,917
MIO_PKM,IE,2015,1728
MIO_PKM,IT,2015,48881
MIO_PKM,LT,2015,270
MIO_PKM,LV,2015,644
MIO_PKM,MK,2015,80
MIO_PKM,PT,2015,3852
MIO_PKM,RO,2015,4971
MIO_PKM,SE,2015,12121
MIO_PKM,SI,2015,620
MIO_PKM,SK,2015,2583
MIO_PKM,TR,2015,4393
MIO_PKM,AT,2014,11433
MIO_PKM,BG,2014,1549
MIO_PKM,CH,2014,19089
MIO_PKM,DE,2014,91050
MIO_PKM,DK,2014,6507
MIO_PKM,EE,2014,286
MIO_PKM,EL,2014,1263
MIO_PKM,ES,2014,26018
MIO_PKM,FI,2014,4114
MIO_PKM,HR,2014,941
MIO_PKM,IE,2014,1918
MIO_PKM,IT,2014,51121
MIO_PKM,LT,2014,262
MIO_PKM,LV,2014,590
MIO_PKM,MK,2014,177
MIO_PKM,PT,2014,3957
MIO_PKM,RO,2014,4910
MIO_PKM,SE,2014,12741
MIO_PKM,SI,2014,628
MIO_PKM,SK,2014,3411
MIO_PKM,TR,2014,4828
MIO_PKM,AT,2013,12021
MIO_PKM,BG,2013,1455
MIO_PKM,CH,2013,19573
MIO_PKM,DE,2013,95465
MIO_PKM,DK,2013,6332
MIO_PKM,EE,2013,316
MIO_PKM,EL,2013,1192
MIO_PKM,ES,2013,26532
MIO_PKM,FI,2013,3868
MIO_PKM,HR,2013,827
MIO_PKM,IE,2013,1991
MIO_PKM,IT,2013,51716
MIO_PKM,LT,2013,280
MIO_PKM,LV,2013,584
MIO_PKM,MK,2013,83
MIO_PKM,PT,2013,4266
MIO_PKM,RO,2013,4731
MIO_PKM,SE,2013,12800
MIO_PKM,SI,2013,611
MIO_PKM,SK,2013,3484
MIO_PKM,TR,2013,4325
MIO_PKM,AT,2012,12077
MIO_PKM,BG,2012,1434
MIO_PKM,CH,2012,19586
MIO_PKM,DE,2012,95529
MIO_PKM,DK,2012,6280
MIO_PKM,EE,2012,366
MIO_PKM,EL,2012,1112
MIO_PKM,ES,2012,27374
MIO_PKM,FI,2012,4271
MIO_PKM,HR,2012,736
MIO_PKM,IE,2012,2122
MIO_PKM,IT,2012,52778
MIO_PKM,LT,2012,315
MIO_PKM,LV,2012,596
MIO_PKM,MK,2012,59
MIO_PKM,PT,2012,4516
MIO_PKM,RO,2012,5556
MIO_PKM,SE,2012,13331
MIO_PKM,SI,2012,570
MIO_PKM,SK,2012,3754
MIO_PKM,TR,2012,4566
MIO_PKM,AT,2011,12681
MIO_PKM,BG,2011,1476
MIO_PKM,CH,2011,19245
MIO_PKM,DE,2011,98161
MIO_PKM,DK,2011,6182
MIO_PKM,EE,2011,417
MIO_PKM,EL,2011,1104
MIO_PKM,ES,2011,28317
MIO_PKM,FI,2011,4535
MIO_PKM,HR,2011,747
MIO_PKM,IE,2011,2281
MIO_PKM,IT,2011,55037
MIO_PKM,LT,2011,354
MIO_PKM,LV,2011,624
MIO_PKM,MK,2011,63
MIO_PKM,PT,2011,4570
MIO_PKM,RO,2011,5426
MIO_PKM,SE,2011,13547
MIO_PKM,SI,2011,568
MIO_PKM,SK,2011,3792
MIO_PKM,TR,2011,5560
MIO_PKM,AT,2010,12761
MIO_PKM,BG,2010,1520
MIO_PKM,CH,2010,20315
MIO_PKM,DE,2010,100252
MIO_PKM,DK,2010,6174
MIO_PKM,EE,2010,392
MIO_PKM,EL,2010,1252
MIO_PKM,ES,2010,28703
MIO_PKM,FI,2010,4924
MIO_PKM,HR,2010,724
MIO_PKM,IE,2010,2399
MIO_PKM,IT,2010,56160
MIO_PKM,LT,2010,359
MIO_PKM,LV,2010,643
MIO_PKM,MK,2010,62
MIO_PKM,PT,2010,5055
MIO_PKM,RO,2010,5735
MIO_PKM,SE,2010,14617
MIO_PKM,SI,2010,572
MIO_PKM,SK,2010,3957
MIO_PKM,TR,2010,11068
MIO_PKM,AT,2009,6964
MIO_PKM,BG,2009,1118
MIO_PKM,CH,2009,12425
MIO_PKM,DE,2009,57470
MIO_PKM,DK,2009,3940
MIO_PKM,EE,2009,263
MIO_PKM,EL,2009,640
MIO_PKM,ES,2009,11987
MIO_PKM,FI,2009,2820
MIO_PKM,HR,2009,448
MIO_PKM,IE,2009,835
MIO_PKM,IT,2009,22064
MIO_PKM,LT,2009,237
MIO_PKM,LV,2009,413
MIO_PKM,MK,2009,25
MIO_PKM,PT,2009,2563
MIO_PKM,RO,2009,3609
MIO_PKM,SE,2009,8129
MIO_PKM,SI,2009,338
MIO_PKM,SK,2009,2133
MIO_PKM,TR,2009,6094
