Country,Year,AirTransportKm
AT,2009,21817268.0
BE,2009,21316690.0
BG,2009,5840825.0
CH,2009,35928170.0
CY,2009,6729787.0
CZ,2009,12367467.0
DE,2009,158148830.0
DK,2009,22277524.0
EE,2009,1341294.0
EL,2009,33440268.0
ES,2009,148318300.0
EU27_2007,2009,751855600.0
EU27_2020,2009,663793660.0
EU28,2009,753231300.0
FI,2009,13828812.0
FR,2009,117636390.0
HR,2009,4335208.0
HU,2009,8081067.0
IE,2009,26268888.0
IS,2009,1837165.0
IT,2009,101823780.0
LT,2009,1867191.0
LU,2009,1535261.0
LV,2009,4062704.0
MT,2009,2918676.0
NL,2009,46479330.0
NO,2009,27675620.0
PL,2009,17046900.0
PT,2009,24116312.0
RO,2009,7984057.0
SE,2009,25218784.0
SI,2009,1423391.0
SK,2009,1948361.0
UK,2009,198533970.0
AT,2010,23532456.0
BE,2010,22697764.0
BG,2010,6169323.0
CH,2010,37615960.0
CY,2010,6948288.0
CZ,2010,12242386.0
DE,2010,166130830.0
DK,2010,24334688.0
EE,2010,1381062.0
EL,2010,32588072.0
ES,2010,153387000.0
EU27_2007,2010,774555460.0
EU27_2020,2010,687720200.0
EU28,2010,776047550.0
FI,2010,14220636.0
FR,2010,118697210.0
HR,2010,4677414.0
HU,2010,8174510.0
IE,2010,23094210.0
IS,2010,2036356.0
IT,2010,109064950.0
LT,2010,2282834.0
LU,2010,1613696.0
LV,2010,4655898.0
MT,2010,3293548.0
NL,2010,48618880.0
NO,2010,29518448.0
PL,2010,18383116.0
PT,2010,25735500.0
RO,2010,8848949.0
SE,2010,26646764.0
SI,2010,1382341.0
SK,2010,1881844.0
UK,2010,192887730.0
AT,2011,25137612.0
BE,2011,25102696.0
BG,2011,6652007.0
CH,2011,41439850.0
CY,2011,7190387.0
CZ,2011,12650532.0
DE,2011,175316080.0
DK,2011,25808320.0
EE,2011,1907569.0
EL,2011,33770740.0
ES,2011,165153230.0
EU27_2007,2011,818145200.0
EU27_2020,2011,730656260.0
EU28,2011,819727360.0
FI,2011,16374398.0
FR,2011,126013256.0
HR,2011,4989236.0
HU,2011,8884837.0
IE,2011,23362888.0
IS,2011,2462894.0
IT,2011,116226664.0
LT,2011,2691991.0
LU,2011,1836780.0
LV,2011,5098360.0
MT,2011,3506814.0
NL,2011,53895292.0
NO,2011,32403522.0
PL,2011,20635672.0
PT,2011,27579708.0
RO,2011,9687456.0
SE,2011,29732248.0
SI,2011,1358792.0
SK,2011,1808187.0
UK,2011,201536750.0
AT,2012,25965976.0
BE,2012,25919516.0
BG,2012,6819103.0
CH,2012,43236090.0
CY,2012,7328300.0
CZ,2012,11742352.0
DE,2012,178591100.0
DK,2012,26532730.0
EE,2012,2202427.0
EL,2012,32082336.0
ES,2012,159771260.0
EU27_2007,2012,823049860.0
EU27_2020,2012,734860350.0
EU28,2012,824759200.0
FI,2012,16458815.0
FR,2012,129764460.0
HR,2012,5422632.0
HU,2012,8429843.0
IE,2012,23594088.0
IS,2012,2740691.0
IT,2012,116029390.0
LT,2012,3166628.0
LU,2012,1893991.0
LV,2012,4754530.0
MT,2012,3650347.0
NL,2012,55680210.0
NO,2012,34592224.0
PL,2012,21800764.0
PT,2012,28186254.0
RO,2012,9674226.0
SE,2012,30350848.0
SI,2012,1167877.0
SK,2012,1563197.0
UK,2012,203067000.0
AT,2013,25749724.0
BE,2013,26389928.0
BG,2013,7079292.0
CH,2013,44217570.0
CY,2013,7011437.0
CZ,2013,11891812.0
DE,2013,180783180.0
DK,2013,27459624.0
EE,2013,1958565.0
EL,2013,34023936.0
ES,2013,157731970.0
EU27_2007,2013,837254500.0
EU27_2020,2013,746100400.0
EU28,2013,838920900.0
FI,2013,16565391.0
FR,2013,132762870.0
HR,2013,5722447.0
HU,2013,8441319.0
IE,2013,24603640.0
IS,2013,3199266.0
IT,2013,115279100.0
LT,2013,3482358.0
LU,2013,2169327.0
LV,2013,4782257.0
MT,2013,4032029.0
NL,2013,58077270.0
NO,2013,36686364.0
PL,2013,23274484.0
PT,2013,29694146.0
RO,2013,10016933.0
SE,2013,31443224.0
SI,2013,1265766.0
SK,2013,1557149.0
UK,2013,210468980.0
AT,2014,26378676.0
BE,2014,28776258.0
BG,2014,7520697.0
CH,2014,46127424.0
CY,2014,7328546.0
CZ,2014,12079873.0
DE,2014,186445810.0
DK,2014,29015132.0
EE,2014,2019806.0
EL,2014,39117830.0
ES,2014,165354380.0
EU27_2007,2014,875108100.0
EU27_2020,2014,781202600.0
EU28,2014,876859700.0
FI,2014,17171932.0
FR,2014,136360670.0
HR,2014,6140797.0
HU,2014,9054848.0
IE,2014,26310826.0
IS,2014,3853614.0
IT,2014,121164584.0
LT,2014,3798110.0
LU,2014,2433966.0
LV,2014,4802282.0
MT,2014,4290032.0
NL,2014,60963004.0
NO,2014,37603196.0
PL,2014,25714422.0
PT,2014,32560620.0
RO,2014,10907487.0
SE,2014,32766044.0
SI,2014,1307128.0
SK,2014,1671290.0
UK,2014,220022130.0
AT,2015,26754008.0
BE,2015,30958840.0
BG,2015,7610949.0
CH,2015,48026376.0
CY,2015,7590787.0
CZ,2015,12672004.0
DE,2015,193936430.0
DK,2015,30095504.0
EE,2015,2160978.0
EL,2015,42096400.0
ES,2015,174652500.0
EU27_2007,2015,916445700.0
EU27_2020,2015,819698940.0
EU28,2015,918211000.0
FI,2015,17479246.0
FR,2015,140867570.0
HR,2015,6571698.0
HU,2015,10228352.0
IE,2015,29545020.0
IS,2015,4847288.0
IT,2015,127665224.0
LT,2015,4227389.0
LU,2015,2651751.0
LV,2015,5145856.0
MK,2015,1452373.0
MT,2015,4619557.0
NL,2015,64570936.0
NO,2015,37503052.0
PL,2015,28907440.0
PT,2015,36005816.0
RO,2015,12580711.0
SE,2015,34011264.0
SI,2015,1436003.0
SK,2015,1943656.0
UK,2015,232270430.0
AT,2016,27181512.0
BE,2016,30115832.0
BG,2016,9324217.0
CH,2016,50505492.0
CY,2016,8961817.0
CZ,2016,13672362.0
DE,2016,200687300.0
DK,2016,32763142.0
EE,2016,2214989.0
EL,2016,45543372.0
ES,2016,193872030.0
EU27_2007,2016,970534200.0
EU27_2020,2016,871695800.0
EU28,2016,972532160.0
FI,2016,18099954.0
FR,2016,145280600.0
HR,2016,7475463.0
HU,2016,11660366.0
IE,2016,32595708.0
IS,2016,6801814.0
IT,2016,134477780.0
LT,2016,4787561.0
LU,2016,2984242.0
LV,2016,5384160.0
ME,2016,1845464.0
MK,2016,1649374.0
MT,2016,5080446.0
NL,2016,70317990.0
NO,2016,37727544.0
PL,2016,32266860.0
PT,2016,40930044.0
RO,2016,15153719.0
RS,2016,4414858.0
SE,2016,35952560.0
SI,2016,1404152.0
SK,2016,2158261.0
UK,2016,248868880.0
AT,2017,28327280.0
BE,2017,33260492.0
BG,2017,11092651.0
CH,2017,53564944.0
CY,2017,10238913.0
CZ,2017,16245554.0
DE,2017,212389340.0
DK,2017,33261214.0
EE,2017,2635145.0
EL,2017,50170730.0
ES,2017,209824100.0
EU27_2007,2017,1040803460.0
EU27_2020,2017,938854460.0
EU28,2017,1043072300.0
FI,2017,20054948.0
FR,2017,154096480.0
HR,2017,8843053.0
HU,2017,13350029.0
IE,2017,34271772.0
IS,2017,8318734.0
IT,2017,144306320.0
LT,2017,5246101.0
LU,2017,3554730.0
LV,2017,6077854.0
ME,2017,2173494.0
MK,2017,1861282.0
MT,2017,6007731.0
NL,2017,76240300.0
NO,2017,38739776.0
PL,2017,37684668.0
PT,2017,47673056.0
RO,2017,17934774.0
RS,2017,4828171.0
SE,2017,38456212.0
SI,2017,1682133.0
SK,2017,2402651.0
UK,2017,264629460.0
AT,2018,31138416.0
BE,2018,34506308.0
BG,2018,12137714.0
CH,2018,56139548.0
CY,2018,10927101.0
CZ,2018,17838220.0
DE,2018,222422370.0
DK,2018,34701140.0
EE,2018,2995528.0
EL,2018,54258824.0
ES,2018,220611420.0
EU27_2007,2018,1103387000.0
EU27_2020,2018,996295400.0
EU28,2018,1105945900.0
FI,2018,22173530.0
FR,2018,161991180.0
HR,2018,9731294.0
HU,2018,15176493.0
IE,2018,36345004.0
IS,2018,10166386.0
IT,2018,153352450.0
LT,2018,6254178.0
LU,2018,3988804.0
LV,2018,7037070.0
ME,2018,2440486.0
MK,2018,2152746.0
MT,2018,6805817.0
NL,2018,79644160.0
NO,2018,40030104.0
PL,2018,43767548.0
PT,2018,51018600.0
RO,2018,19809642.0
RS,2018,5521250.0
SE,2018,38945096.0
SI,2018,1810567.0
SK,2018,2794094.0
UK,2018,272190140.0
AT,2019,35644188.0
BE,2019,35385188.0
BG,2019,11713068.0
CH,2019,57194330.0
CY,2019,11261410.0
CZ,2019,18832696.0
DE,2019,226764080.0
DK,2019,34780130.0
EE,2019,3258003.0
EL,2019,56088530.0
ES,2019,228262370.0
EU27_2007,2019,1143887700.0
EU27_2020,2019,1035185400.0
EU28,2019,1146593000.0
FI,2019,23287928.0
FR,2019,168726780.0
HR,2019,10623239.0
HU,2019,16700750.0
IE,2019,37947510.0
IS,2019,7584197.0
IT,2019,160667940.0
LT,2019,6504685.0
LU,2019,4365569.0
LV,2019,7785726.0
ME,2019,2652801.0
MK,2019,2353327.0
MT,2019,7318357.0
NL,2019,81192504.0
NO,2019,40348436.0
PL,2019,46942772.0
PT,2019,55007896.0
RO,2019,21565864.0
RS,2019,6450643.0
SE,2019,37614764.0
SI,2019,1719039.0
SK,2019,2839787.0
UK,2019,277432400.0
AT,2020,9168431.0
BE,2020,9465828.0
BG,2020,3729017.0
CH,2020,16006811.0
CY,2020,2270577.0
CZ,2020,3821372.0
DE,2020,57795976.0
DK,2020,8658654.0
EE,2020,857837.0
EL,2020,17341192.0
ES,2020,57797304.0
EU27_2020,2020,276673440.0
FI,2020,5428622.0
FR,2020,50724012.0
HR,2020,1919100.0
HU,2020,3962687.0
IE,2020,8268324.0
IS,2020,1527633.0
IT,2020,40405356.0
LT,2020,1804500.0
LU,2020,1426310.0
LV,2020,1995133.0
ME,2020,521959.0
MK,2020,709241.0
MT,2020,1752445.0
NL,2020,23594784.0
NO,2020,13216883.0
PL,2020,13825504.0
PT,2020,16548993.0
RO,2020,6650110.0
RS,2020,1938466.0
SE,2020,9317677.0
SI,2020,287787.0
SK,2020,500604.0
