TypeOfRoad,Country,Year,LengthOfMotorways
MWAY,AT,2008,1696.0
MWAY,BE,2008,1763.0
MWAY,BG,2008,418.0
MWAY,CH,2008,1383.0
MWAY,CY,2008,257.0
MWAY,CZ,2008,691.0
MWAY,DE,2008,12645.0
MWAY,DK,2008,1128.0
MWAY,EE,2008,104.0
MWAY,ES,2008,13518.0
MWAY,FI,2008,739.0
MWAY,FR,2008,11042.0
MWAY,HR,2008,1199.0
MWAY,HU,2008,1273.7
MWAY,IE,2008,423.0
MWAY,IT,2008,6629.0
MWAY,LT,2008,309.0
MWAY,LU,2008,147.0
MWAY,LV,2008,0.0
MWAY,MK,2008,237.0
MWAY,NL,2008,2637.0
MWAY,NO,2008,253.0
MWAY,PL,2008,765.0
MWAY,PT,2008,2673.0
MWAY,RO,2008,281.0
MWAY,SE,2008,1857.0
MWAY,SI,2008,696.0
MWAY,SK,2008,384.0
MWAY,TR,2008,1922.0
MWAY,UK,2008,3672.81
RD_EUR,AT,2008,2236.0
RD_EUR,CH,2008,1466.0
RD_EUR,CZ,2008,2604.0
RD_EUR,DK,2008,936.0
RD_EUR,FI,2008,4279.0
RD_EUR,FR,2008,13218.0
RD_EUR,HR,2008,2256.0
RD_EUR,HU,2008,2237.8
RD_EUR,LT,2008,1649.0
RD_EUR,LV,2008,202.0
RD_EUR,MK,2008,553.0
RD_EUR,PL,2008,5500.0
RD_EUR,PT,2008,2258.0
RD_EUR,RO,2008,6073.0
RD_EUR,SE,2008,6389.0
RD_EUR,SI,2008,628.0
RD_EUR,SK,2008,1538.8
RD_EUR,TR,2008,8878.0
RD_EUR,UK,2008,3756.0
MWAY,AT,2009,1696.0
MWAY,BE,2009,1763.0
MWAY,BG,2009,418.0
MWAY,CH,2009,1406.0
MWAY,CY,2009,257.0
MWAY,CZ,2009,729.0
MWAY,DE,2009,12813.0
MWAY,EE,2009,100.0
MWAY,ES,2009,14021.0
MWAY,FI,2009,765.0
MWAY,FR,2009,11163.0
MWAY,HR,2009,1244.0
MWAY,HU,2009,1273.0
MWAY,IE,2009,663.0
MWAY,IT,2009,6661.0
MWAY,LT,2009,309.0
MWAY,LU,2009,152.0
MWAY,LV,2009,0.0
MWAY,MK,2009,251.0
MWAY,NL,2009,2631.0
MWAY,NO,2009,344.0
MWAY,PL,2009,849.0
MWAY,PT,2009,2705.0
MWAY,RO,2009,321.0
MWAY,SE,2009,1923.0
MWAY,SI,2009,747.0
MWAY,SK,2009,391.0
MWAY,TR,2009,2036.0
MWAY,UK,2009,3673.91
RD_EUR,AT,2009,2242.0
RD_EUR,CH,2009,1466.0
RD_EUR,CZ,2009,2603.0
RD_EUR,FI,2009,4283.0
RD_EUR,FR,2009,13218.0
RD_EUR,HR,2009,2251.0
RD_EUR,HU,2009,2240.0
RD_EUR,LT,2009,1650.0
RD_EUR,LV,2009,202.0
RD_EUR,MK,2009,553.0
RD_EUR,PL,2009,5500.0
RD_EUR,PT,2009,2254.0
RD_EUR,RO,2009,6180.0
RD_EUR,SE,2009,6459.0
RD_EUR,SI,2009,628.0
RD_EUR,SK,2009,1536.6
RD_EUR,TR,2009,9347.0
RD_EUR,UK,2009,3756.0
MWAY,AT,2010,1719.0
MWAY,BE,2010,1763.0
MWAY,BG,2010,437.0
MWAY,CH,2010,1406.0
MWAY,CY,2010,257.0
MWAY,CZ,2010,734.0
MWAY,DE,2010,12819.0
MWAY,EE,2010,115.0
MWAY,ES,2010,14262.0
MWAY,FI,2010,779.0
MWAY,FR,2010,11392.0
MWAY,HR,2010,1244.0
MWAY,HU,2010,1477.0
MWAY,IE,2010,900.27
MWAY,IT,2010,6668.0
MWAY,LT,2010,309.0
MWAY,LU,2010,152.0
MWAY,LV,2010,0.0
MWAY,MK,2010,251.0
MWAY,NL,2010,2646.0
MWAY,NO,2010,381.0
MWAY,PL,2010,857.0
MWAY,PT,2010,2737.0
MWAY,RO,2010,332.0
MWAY,SE,2010,1971.0
MWAY,SI,2010,768.0
MWAY,SK,2010,415.7
MWAY,TR,2010,2080.0
MWAY,UK,2010,3671.81
RD_EUR,AT,2010,2242.0
RD_EUR,CH,2010,1466.0
RD_EUR,CZ,2010,2636.0
RD_EUR,EE,2010,995.0
RD_EUR,FI,2010,4176.0
RD_EUR,FR,2010,13175.0
RD_EUR,HR,2010,2238.0
RD_EUR,HU,2010,2254.3
RD_EUR,LT,2010,1643.0
RD_EUR,LV,2010,202.0
RD_EUR,MK,2010,553.0
RD_EUR,PL,2010,5500.0
RD_EUR,PT,2010,2251.0
RD_EUR,RO,2010,6188.0
RD_EUR,SE,2010,6454.0
RD_EUR,SI,2010,725.0
RD_EUR,SK,2010,1124.0
RD_EUR,UK,2010,3792.0
MWAY,AT,2011,1719.0
MWAY,BG,2011,458.0
MWAY,CH,2011,1415.0
MWAY,CY,2011,257.0
MWAY,CZ,2011,745.0
MWAY,DE,2011,12845.0
MWAY,EE,2011,115.0
MWAY,ES,2011,14531.0
MWAY,FI,2011,790.0
MWAY,FR,2011,11413.0
MWAY,HR,2011,1254.0
MWAY,HU,2011,1515.5
MWAY,IE,2011,900.0
MWAY,IT,2011,6668.0
MWAY,LT,2011,309.0
MWAY,LU,2011,152.0
MWAY,LV,2011,0.0
MWAY,MK,2011,259.0
MWAY,NL,2011,2651.0
MWAY,NO,2011,393.0
MWAY,PL,2011,1070.0
MWAY,PT,2011,2737.0
MWAY,RO,2011,350.0
MWAY,SE,2011,1957.0
MWAY,SI,2011,768.0
MWAY,SK,2011,419.2
MWAY,TR,2011,2119.0
MWAY,UK,2011,3685.7
RD_EUR,AT,2011,2248.0
RD_EUR,BG,2011,2977.0
RD_EUR,CH,2011,1466.0
RD_EUR,CZ,2011,2634.0
RD_EUR,EE,2011,995.0
RD_EUR,FI,2011,4170.0
RD_EUR,FR,2011,13175.0
RD_EUR,HR,2011,2250.0
RD_EUR,HU,2011,2253.6
RD_EUR,LT,2011,1642.0
RD_EUR,LV,2011,202.0
RD_EUR,MK,2011,553.0
RD_EUR,PL,2011,5500.0
RD_EUR,PT,2011,2250.0
RD_EUR,RO,2011,6188.0
RD_EUR,SE,2011,6453.0
RD_EUR,SI,2011,725.0
RD_EUR,SK,2011,1535.6
MWAY,AT,2012,1719.0
MWAY,BG,2012,541.0
MWAY,CH,2012,1419.0
MWAY,CY,2012,257.0
MWAY,CZ,2012,751.0
MWAY,DE,2012,12879.0
MWAY,EE,2012,124.0
MWAY,ES,2012,14701.0
MWAY,FI,2012,780.0
MWAY,FR,2012,11413.0
MWAY,HR,2012,1254.0
MWAY,HU,2012,1515.1
MWAY,IE,2012,900.0
MWAY,IT,2012,6726.0
MWAY,LT,2012,309.0
MWAY,LU,2012,152.0
MWAY,LV,2012,0.0
MWAY,MK,2012,259.0
MWAY,NL,2012,2658.0
MWAY,NO,2012,392.0
MWAY,PL,2012,1365.0
MWAY,PT,2012,2988.0
MWAY,RO,2012,550.0
MWAY,SE,2012,2004.0
MWAY,SI,2012,769.0
MWAY,SK,2012,419.2
MWAY,TR,2012,2127.0
MWAY,UK,2012,3732.52
RD_EUR,AT,2012,2248.0
RD_EUR,BG,2012,2899.0
RD_EUR,CH,2012,1466.0
RD_EUR,CZ,2012,2634.0
RD_EUR,EE,2012,995.0
RD_EUR,FI,2012,4212.0
RD_EUR,FR,2012,13175.0
RD_EUR,HR,2012,2251.0
RD_EUR,HU,2012,2331.5
RD_EUR,LT,2012,1642.0
RD_EUR,LV,2012,202.0
RD_EUR,MK,2012,553.0
RD_EUR,PL,2012,5500.0
RD_EUR,PT,2012,2244.0
RD_EUR,RO,2012,6263.0
RD_EUR,SE,2012,6746.0
RD_EUR,SI,2012,725.0
RD_EUR,SK,2012,1535.1
RD_EUR,TR,2012,9361.0
MWAY,AT,2013,1719.0
MWAY,BG,2013,605.0
MWAY,CH,2013,1419.0
MWAY,CY,2013,257.0
MWAY,CZ,2013,776.0
MWAY,DE,2013,12917.0
MWAY,DK,2013,1216.0
MWAY,EE,2013,140.0
MWAY,ES,2013,14981.0
MWAY,FI,2013,810.0
MWAY,FR,2013,11552.0
MWAY,HR,2013,1289.0
MWAY,HU,2013,1767.0
MWAY,IE,2013,897.0
MWAY,IT,2013,6751.0
MWAY,LI,2013,0.0
MWAY,LT,2013,309.0
MWAY,LU,2013,152.0
MWAY,LV,2013,0.0
MWAY,MK,2013,259.0
MWAY,NL,2013,2666.0
MWAY,PL,2013,1482.0
MWAY,PT,2013,3035.0
MWAY,RO,2013,644.0
MWAY,RS,2013,607.0
MWAY,SE,2013,2044.0
MWAY,SI,2013,607.0
MWAY,SK,2013,420.0
MWAY,TR,2013,2244.0
MWAY,UK,2013,3756.0
RD_EUR,AT,2013,2248.0
RD_EUR,BG,2013,2899.0
RD_EUR,CH,2013,1466.0
RD_EUR,CZ,2013,2632.0
RD_EUR,DK,2013,943.0
RD_EUR,EE,2013,995.0
RD_EUR,FI,2013,4210.0
RD_EUR,FR,2013,13175.0
RD_EUR,HR,2013,2200.0
RD_EUR,HU,2013,2359.0
RD_EUR,LT,2013,1639.0
RD_EUR,LV,2013,202.0
RD_EUR,MK,2013,553.0
RD_EUR,PL,2013,5500.0
RD_EUR,PT,2013,2241.0
RD_EUR,RO,2013,6269.0
RD_EUR,RS,2013,1899.0
RD_EUR,SE,2013,6745.0
RD_EUR,SI,2013,588.0
RD_EUR,SK,2013,1528.0
RD_EUR,TR,2013,9353.0
MWAY,AT,2014,1719.0
MWAY,BG,2014,610.0
MWAY,CH,2014,1429.0
MWAY,CY,2014,257.0
MWAY,CZ,2014,776.0
MWAY,DE,2014,12949.0
MWAY,DK,2014,1232.0
MWAY,EE,2014,141.0
MWAY,ES,2014,15049.0
MWAY,FI,2014,881.0
MWAY,FR,2014,11560.0
MWAY,HR,2014,1290.0
MWAY,HU,2014,1782.0
MWAY,IE,2014,897.0
MWAY,IT,2014,6844.0
MWAY,LI,2014,0.0
MWAY,LT,2014,309.0
MWAY,LU,2014,152.0
MWAY,LV,2014,0.0
MWAY,MK,2014,259.0
MWAY,NL,2014,2678.0
MWAY,PL,2014,1556.0
MWAY,PT,2014,3065.0
MWAY,RO,2014,683.0
MWAY,RS,2014,607.0
MWAY,SE,2014,2088.0
MWAY,SI,2014,607.0
MWAY,SK,2014,420.0
MWAY,TR,2014,2278.0
MWAY,UK,2014,3760.0
RD_EUR,AT,2014,2248.0
RD_EUR,BG,2014,2926.0
RD_EUR,CH,2014,1466.0
RD_EUR,CZ,2014,2628.0
RD_EUR,DK,2014,944.0
RD_EUR,EE,2014,995.0
RD_EUR,ES,2014,0.0
RD_EUR,FI,2014,4216.0
RD_EUR,FR,2014,13175.0
RD_EUR,HR,2014,2251.0
RD_EUR,HU,2014,2345.0
RD_EUR,LT,2014,1639.0
RD_EUR,LV,2014,202.0
RD_EUR,MK,2014,553.0
RD_EUR,PL,2014,5500.0
RD_EUR,PT,2014,2241.0
RD_EUR,RO,2014,6194.0
RD_EUR,RS,2014,1899.0
RD_EUR,SE,2014,6742.0
RD_EUR,SI,2014,588.0
RD_EUR,SK,2014,1524.0
RD_EUR,TR,2014,9353.0
MWAY,AT,2015,1719.0
MWAY,BG,2015,734.0
MWAY,CH,2015,1440.0
MWAY,CY,2015,257.0
MWAY,CZ,2015,776.0
MWAY,DE,2015,12993.0
MWAY,DK,2015,1237.0
MWAY,EE,2015,147.0
MWAY,ES,2015,15336.0
MWAY,FI,2015,881.0
MWAY,FR,2015,11599.0
MWAY,HR,2015,1310.0
MWAY,HU,2015,1884.0
MWAY,IE,2015,916.0
MWAY,IT,2015,6943.0
MWAY,LI,2015,0.0
MWAY,LT,2015,309.0
MWAY,LU,2015,161.0
MWAY,LV,2015,0.0
MWAY,MK,2015,259.0
MWAY,NL,2015,2730.0
MWAY,PL,2015,1559.0
MWAY,PT,2015,3065.0
MWAY,RO,2015,747.0
MWAY,RS,2015,693.0
MWAY,SE,2015,2119.0
MWAY,SI,2015,610.0
MWAY,SK,2015,463.0
MWAY,TR,2015,2282.0
MWAY,UK,2015,3768.0
RD_EUR,AT,2015,2249.0
RD_EUR,BG,2015,2926.0
RD_EUR,CZ,2015,2628.0
RD_EUR,DK,2015,945.0
RD_EUR,EE,2015,953.0
RD_EUR,FI,2015,4286.0
RD_EUR,FR,2015,12797.0
RD_EUR,HR,2015,2251.0
RD_EUR,HU,2015,2348.0
RD_EUR,LT,2015,1639.0
RD_EUR,LV,2015,202.0
RD_EUR,MK,2015,553.0
RD_EUR,PL,2015,5500.0
RD_EUR,PT,2015,2241.0
RD_EUR,RO,2015,6193.0
RD_EUR,RS,2015,1887.0
RD_EUR,SE,2015,6744.0
RD_EUR,SI,2015,588.0
RD_EUR,SK,2015,1520.0
RD_EUR,TR,2015,9353.0
MWAY,AT,2016,1719.0
MWAY,BG,2016,734.0
MWAY,CH,2016,1447.0
MWAY,CY,2016,257.0
MWAY,CZ,2016,1222.661
MWAY,DE,2016,12996.0
MWAY,DK,2016,1255.0
MWAY,EE,2016,145.0
MWAY,ES,2016,15444.0
MWAY,FI,2016,890.0
MWAY,FR,2016,11612.0
MWAY,HR,2016,1310.0
MWAY,HU,2016,1924.0
MWAY,IE,2016,916.0
MWAY,IT,2016,6943.0
MWAY,LI,2016,0.0
MWAY,LT,2016,314.0
MWAY,LU,2016,161.0
MWAY,LV,2016,0.0
MWAY,MK,2016,259.0
MWAY,NL,2016,2756.0
MWAY,PL,2016,1637.0
MWAY,PT,2016,3065.0
MWAY,RO,2016,747.0
MWAY,RS,2016,741.0
MWAY,SE,2016,2118.0
MWAY,SI,2016,610.0
MWAY,SK,2016,463.0
MWAY,TR,2016,2542.0
MWAY,UK,2016,3764.0
RD_EUR,AT,2016,2250.0
RD_EUR,BG,2016,2953.0
RD_EUR,CZ,2016,2628.0
RD_EUR,DK,2016,945.0
RD_EUR,EE,2016,953.0
RD_EUR,FI,2016,4286.0
RD_EUR,FR,2016,12797.0
RD_EUR,HR,2016,2251.0
RD_EUR,HU,2016,2339.0
RD_EUR,LT,2016,1639.0
RD_EUR,LV,2016,202.0
RD_EUR,MK,2016,553.0
RD_EUR,PL,2016,5500.0
RD_EUR,PT,2016,2241.0
RD_EUR,RO,2016,6200.0
RD_EUR,RS,2016,2150.0
RD_EUR,SE,2016,6745.0
RD_EUR,SI,2016,588.0
RD_EUR,SK,2016,1521.0
RD_EUR,TR,2016,9353.0
MWAY,AT,2017,1719.0
MWAY,BG,2017,734.0
MWAY,CH,2017,1458.0
MWAY,CY,2017,257.0
MWAY,CZ,2017,1240.0
MWAY,DE,2017,13009.0
MWAY,DK,2017,1308.0
MWAY,EE,2017,154.0
MWAY,ES,2017,15523.0
MWAY,FI,2017,893.0
MWAY,FR,2017,11618.0
MWAY,HR,2017,1310.0
MWAY,HU,2017,1937.0
MWAY,IE,2017,916.0
MWAY,IT,2017,6943.0
MWAY,LI,2017,0.0
MWAY,LT,2017,324.0
MWAY,LU,2017,165.0
MWAY,LV,2017,0.0
MWAY,MK,2017,259.0
MWAY,NL,2017,2758.0
MWAY,NO,2017,523.0
MWAY,PL,2017,1637.0
MWAY,PT,2017,3065.0
MWAY,RO,2017,763.0
MWAY,RS,2017,963.0
MWAY,SE,2017,2132.0
MWAY,SI,2017,618.0
MWAY,SK,2017,482.0
MWAY,TR,2017,2657.0
MWAY,UK,2017,3803.0
MWAY,XK,2017,109.0
RD_EUR,AT,2017,2250.0
RD_EUR,BG,2017,2953.0
RD_EUR,CZ,2017,2631.0
RD_EUR,DK,2017,945.0
RD_EUR,EE,2017,953.0
RD_EUR,FI,2017,4286.0
RD_EUR,FR,2017,12797.0
RD_EUR,HR,2017,2255.0
RD_EUR,HU,2017,2335.0
RD_EUR,LI,2017,0.0
RD_EUR,LT,2017,1639.0
RD_EUR,LV,2017,202.0
RD_EUR,MK,2017,553.0
RD_EUR,PL,2017,5818.0
RD_EUR,PT,2017,2241.0
RD_EUR,RO,2017,6200.0
RD_EUR,RS,2017,2150.0
RD_EUR,SE,2017,6747.0
RD_EUR,SI,2017,588.0
RD_EUR,SK,2017,1524.0
RD_EUR,XK,2017,250.0
MWAY,AT,2018,1743.0
MWAY,BG,2018,757.0
MWAY,CH,2018,1462.0
MWAY,CY,2018,257.0
MWAY,CZ,2018,1252.0
MWAY,DE,2018,13141.0
MWAY,DK,2018,1329.0
MWAY,EE,2018,154.0
MWAY,ES,2018,15585.0
MWAY,FI,2018,926.0
MWAY,FR,2018,11671.0
MWAY,HR,2018,1310.0
MWAY,HU,2018,1982.0
MWAY,IE,2018,916.0
MWAY,IT,2018,6966.0
MWAY,LI,2018,0.0
MWAY,LT,2018,324.0
MWAY,LU,2018,165.0
MWAY,LV,2018,0.0
MWAY,MK,2018,287.0
MWAY,NL,2018,2755.0
MWAY,NO,2018,599.0
MWAY,PL,2018,1637.0
MWAY,PT,2018,3065.0
MWAY,RO,2018,823.0
MWAY,SE,2018,2132.0
MWAY,SI,2018,623.0
MWAY,SK,2018,482.0
MWAY,TR,2018,2842.0
MWAY,UK,2018,3838.0
MWAY,XK,2018,119.0
RD_EUR,AT,2018,2250.0
RD_EUR,BG,2018,2981.0
RD_EUR,CZ,2018,2630.0
RD_EUR,DK,2018,945.0
RD_EUR,EE,2018,953.0
RD_EUR,FI,2018,4348.0
RD_EUR,FR,2018,12797.0
RD_EUR,HR,2018,2255.0
RD_EUR,HU,2018,2332.0
RD_EUR,LI,2018,0.0
RD_EUR,LT,2018,1639.0
RD_EUR,LV,2018,202.0
RD_EUR,MK,2018,553.0
RD_EUR,PT,2018,2241.0
RD_EUR,RO,2018,6194.0
RD_EUR,SE,2018,6755.0
RD_EUR,SI,2018,594.0
RD_EUR,SK,2018,1524.0
RD_EUR,XK,2018,250.0
MWAY,AT,2019,1743.0
MWAY,BG,2019,790.0
MWAY,CY,2019,257.0
MWAY,CZ,2019,1276.0
MWAY,DE,2019,13183.0
MWAY,EE,2019,161.0
MWAY,FI,2019,926.0
MWAY,FR,2019,11671.0
MWAY,HR,2019,1310.0
MWAY,HU,2019,1723.2
MWAY,IE,2019,995.0
MWAY,LI,2019,0.0
MWAY,LT,2019,403.0
MWAY,LU,2019,165.0
MWAY,LV,2019,0.0
MWAY,MK,2019,335.0
MWAY,NL,2019,2790.0
MWAY,NO,2019,1008.0
MWAY,PL,2019,1676.0
MWAY,PT,2019,3065.0
MWAY,RO,2019,866.0
MWAY,SE,2019,2133.0
MWAY,SI,2019,623.0
MWAY,SK,2019,495.0
MWAY,TR,2019,3060.0
MWAY,XK,2019,137.0
RD_EUR,AT,2019,2250.0
RD_EUR,BG,2019,2984.0
RD_EUR,CZ,2019,2629.0
RD_EUR,EE,2019,953.0
RD_EUR,FI,2019,4351.0
RD_EUR,HR,2019,2255.0
RD_EUR,HU,2019,2470.5
RD_EUR,LI,2019,0.0
RD_EUR,LT,2019,1742.0
RD_EUR,LV,2019,202.0
RD_EUR,MK,2019,553.0
RD_EUR,NO,2019,7218.0
RD_EUR,PT,2019,2241.0
RD_EUR,RO,2019,6176.0
RD_EUR,SE,2019,6728.0
RD_EUR,SI,2019,594.0
RD_EUR,SK,2019,1529.0
RD_EUR,XK,2019,250.0
